,words,clues
0,RATPACK,"Group in the original ""Ocean's 11"""
1,NBAJAM,Classic arcade game with lots of shooting
2,EURASIAN,Like Istanbul
3,YESIDO,Emphatic admission
4,ABUDHABI,"First world capital, alphabetically"
5,SEWNON,"Like clothes buttons, generally"
6,PAIR,Unexciting poker holding
7,OLGA,2008 Bond girl Kurylenko
8,NAGAT,Bedevil
9,EDSEL,"Car once promoted with the line ""The thrill starts with the grille"""
10,OHMS,Speaker units
11,NONA,Prefix with -gon
12,REM,Nocturnal acronym
13,EXOTICA,Strange things
14,INN,"Super 8, e.g."
15,HAREM,Group of female seals
16,RUSSIA,Powerhouse in Olympic weightlifting
17,ONEDAYATATIME,Gradually
18,GROMIT,Animated character who graduated from Dogwarts University
19,RAPID,"The ""R"" of 28-Across"
20,ADS,Circular parts
21,NEMESES,Formidable opponents
22,PAC,Campaign aid
23,NELL,"""The Old Curiosity Shop"" girl"
24,DAFT,Touched
25,MARSH,Rail center?
26,GROAN,"Express stress, in a way"
27,SUEZ,Gulf of ___
28,ROSA,"Santa ___, Calif."
29,SOUPED,Juiced (up)
30,EBENEZER,"Jacob's partner in ""A Christmas Carol"""
31,TUCSON,"City nicknamed ""The Old Pueblo"""
32,LUKEWARM,"So-so, as support"
33,ATHENA,Acropolis figure
34,DETECTS,Spots
35,REAPER,One going against the grain?
36,AUBADE,Poem greeting the dawn
37,TRUISM,"""What's past is past,"" e.g."
38,PADRE,Giant competitor
39,ASH,Last name of cosmetics giant Mary Kay
40,CIAO,"""See ya"""
41,KABLOOEY,Bad way to go
42,NYS,Buffalo's home: Abbr.
43,BEEN,Has-___
44,ASWAN,Source of stone used to build the ancient Egyptian pyramids
45,JINGOISM,Flag-waving and such
46,ADOANNIE,"Musical ""girl who cain't say no"""
47,MONTANA,"Joe known as ""The Comeback Kid"""
48,NIGHTMAREFUEL,"Cause of bad dreams, in modern lingo"
49,AMI,Follower of bon or mon
50,LEADIN,Show immediately preceding another
51,SCRAPE,Scuffle
52,XRATED,For adults only
53,AUTISM,Special-education challenge
54,HEM,Bottom line?
55,SID,Tom Sawyer's half brother
56,ORDEROUT,Request for food delivery
57,NOSLOUCH,Someone who's pretty darn good
58,TASTEBUD,It could be on the tip of your tongue
59,GANGSTA,___ rap
60,MAS,"More, in México"
61,PROZAC,"O.C.D. fighter, maybe"
62,ASSERT,Put forth
63,CHARMS,Enamors
64,LAPSE,Small slip
65,AREWE,"""___ done now?"""
66,NEON,Superbright
67,ZEKE,"""The Wizard of Oz"" farmhand"
68,DNA,Helicases split it
69,NET,Court divider
