,words,clues
0,TEAMUP,Join forces
1,SCAG,"Heroin, slangily"
2,PBJ,"Lunchbox sandwich, informally"
3,EXCEED,Go beyond
4,ALDO,Gucci of fashion
5,ARE,"""We ___ Young"" (2012 Song of the Year)"
6,STUDYABROAD,"Read up on a woman, old-fashionedly?"
7,PAT,One way to stand
8,LOTUS,Yoga position
9,MIAMI,Home of the Heat
10,ENS,Naval subordinate: Abbr.
11,ARES,Warrior on Mount Olympus
12,RISKAVERSE,Take a chance on a work of poetry?
13,STRAFE,Attack from the air
14,ASCOT,Cousin of a cravat
15,CESSNA,Big name in small planes
16,PUNS,What crossword clues with question marks often are
17,TICKETAGENT,Cite a chap for speeding?
18,GIRD,Prepare for a struggle
19,SAYSOK,Gives the go-ahead
20,AMIES,French 38-Down
21,NEIGHS,Stable sounds
22,LEADASTRAY,Coax a lost dog to follow you?
23,PROW,Figurehead's place
24,PAN,Camera-moving technique
25,LOYAL,Unlikely to defect
26,CHORE,Task
27,ANG,"""Hulk"" director Lee"
28,SNIFFAROUND,Check the aroma of a few beers?
29,LIL,Al Capp diminutive
30,AINT,"""You ___ kiddin'!"""
31,PENSEE,"Thought, to Pascal"
32,STE,Québec place name abbr.
33,SAGS,Loses rigidity
34,TWEETS,Messages with hashtags
35,TESLAS,Autos with charging stations
36,EXTORT,Get by intimidation
37,ACUTER,More discerning
38,MEDUSA,Monster beheaded by Perseus
39,UEYS,180s
40,PDA,"Unlawful behavior in strict Muslim countries, for short"
41,SARIS,Delhi wraps
42,CLOAK,Dagger's partner
43,ADAMA,"""Battlestar Galactica"" commander"
44,GODIVA,Big name in chocolates
45,PAPERCUT,Small slice of one's workday?
46,BRANSON,Richard who founded Virgin Atlantic
47,JETSETS,Travels in high style
48,BMI,Ascap counterpart
49,REEKS,Needs a bath badly
50,ESPN,Place to follow the M.L.B.
51,FCC,Obscenity-monitoring org.
52,SEA,"Naval burial site, maybe"
53,STY,Dirty digs
54,NAS,"""Hip Hop Is Dead"" rapper"
55,AGONY,Ecstasy's opposite
56,TRIANGLE,It's right in the Pythagorean theorem
57,IDED,"Carded, for short"
58,EKE,"Barely manage, with ""out"""
59,GALPALS,"""Sex and the City"" quartet, e.g."
60,IMEANIT,"""No kidding!"""
61,SALSAS,Tex-Mex dips
62,IPHONE,FaceTime device
63,GROUSE,Bellyache
64,HORNET,Insect that builds a papery nest
65,SWEDES,"Three of Abba's members, by birth"
66,SONIA,The Supreme Court's Sotomayor
67,TYING,Getting even with
68,RAFTS,Shooters through rapids
69,ALF,Sitcom extraterrestrial
70,CREW,Captain's command
71,APT,Quick on the uptake
72,HAHA,"""Hilarious!"""
73,RAMPS,Flight alternatives
74,GAME,"Tag, for example"
75,ETAS,HH
76,ATARI,Centipede creator
77,AMIS,"""Lionel Asbo: State of England"" novelist, 2012"
78,LTRS,Some paperwork: Abbr.
79,MADETOLAST,Well-built
80,LED,Ran
81,SILLY,Foolish
82,VITAE,Curriculum ___
83,ONTHESLY,Sub rosa
84,JULEPS,Bourbon drinks
85,DOIN,Off
86,COMEUP,Arise
87,BASESALARY,Amount before bonuses
88,ERRS,Slips
89,ANT,Hill dweller
90,EMPTY,Foolish
91,FOR,Dedicated to
92,MCALLISTER,Fort ___ (Civil War landmark near Savannah)
93,SOPS,Gravy go-withs
94,ERIE,City on Amtrak's Boston-to-Chicago line
95,RAPTOR,"Osprey, for one"
96,ASBESTOS,Once-common building material
97,PARTII,Sequel
98,SHO,"""Homeland"" airer, for short"
99,SAPPY,Foolish
100,LABAN,Jacob's father-in-law
101,KEAN,Thomas who headed the 9/11 Commission
102,TRIOSONATA,"Bach's ""Musical Offering"" includes one"
103,MERE,Simple
104,AANDP,Supermarket chain until 2015
105,GLEN,"___ Rock, N.J."
106,ETDS,"Displays near gates, briefly"
107,SHEAF,Stack of papers
108,ELSE,"""Who ___?"""
109,HELLO,"When its second syllable is drawn out, ""Are you out of your mind?!"""
110,ATTENDANCESHEET,Skipping record?
111,HARDTOSTARBOARD,Command for turning sharply right
112,ASS,Biblical mount
113,RAMIS,"""Groundhog Day"" director"
114,ATALL,Whatsoever
115,MADLY,How one might fall in love
116,PREY,Hunted
117,SIT,Be idle
118,GALILEE,Region bordering Lebanon
119,AMATEURFOOTBALL,"Recreational soccer, to Brits"
120,MISAPPROPRIATES,"Embezzles, e.g."
121,ESTES,___ Park
122,OVUM,Sex-ed subject
123,SENSELESS,Foolish
124,HIE,"""___ thee to hell for shame"": ""Richard III"""
125,JOY,Beatitude
126,CRYER,"Jon of ""Two and a Half Men"""
127,BAM,Comic book sound effect
128,AMI,"Question in response to an insult, maybe"
129,LPS,Some wax
130,ATT,Phone inits.
131,SRS,Top class: Abbr.
132,LIE,Be idle
133,RAP,Grammy category
134,STRANGE,Off
135,PALO,___ Alto
136,ASKME,"""Shoot!"""
137,TATAS,Byes
138,OPRAH,"The ""O"" in television's OWN"
139,SPINE,Title locale
140,INANE,"Foolish ... or, when read as three words, how this puzzle's other four ""foolish"" answers are arranged"
141,YODA,Robe-wearing trainer of cinema
142,NES,Dr. Mario console
143,SPF,Abbr. in a beach bag
144,FDA,Medicine-approving org.
145,CASK,Wine barrel
146,CLIOS,Awards in the ad biz
147,ARC,Rainbow shape
148,ARIA,Opera melody
149,GLANCE,Quick look
150,TAR,Paving goo
151,CITYSLICKER,Article of outerwear for an urbanite?
152,COOKS,"Too many of them ""spoil the broth"""
153,HOP,Bunny's movement
154,LAB,Component of a science course
155,BUBBLEWRAP,Article of outerwear for a champagne drinker?
156,FINI,Done: Fr.
157,BLASE,Having a ho-hum attitude
158,HUG,Warm greeting
159,SONIA,Justice Sotomayor
160,SATE,Leave full
161,FOG,Common weather phenomenon in San Francisco
162,BROGAN,Ankle-high work shoe
163,SUGARCOAT,Article of outerwear for a candy lover?
164,CRISPS,"Potato chips, to Brits"
165,ALT,___-rock (music genre)
166,RIBS,Entree that may be slathered in barbecue sauce
167,DAMES,"""Grand"" women"
168,GTO,Classic muscle car
169,PARES,Removes the rind from
170,RIAS,Inlets
171,DUSTJACKET,Article of outerwear for a housekeeper?
172,ANG,"Lee who directed ""Life of Pi"""
173,BAL,"___ Harbour, Fla."
174,PRESS,"Newspapers, collectively"
175,CHEVYBLAZER,Article of outerwear for a General Motors employee?
176,OWL,Bird that gives a hoot
177,KARATS,Gold standards
178,SEGO,___ lily
179,MAO,Chinese leader with a Little Red Book
180,STYLE,Panache
181,PEST,Rat or roach
182,EXT,No. after a main telephone no.
183,FAT,"What the ""Gras"" of Mardi Gras means"
184,DRACULA,Count with fangs
185,ACROBAT,Circus tumbler
186,CACKLE,Witch's laugh
187,ARISE,Crop up
188,SIT,Command to a dog
189,KAY,Mary ___ cosmetics
190,CLIP,Bit from a movie
